product_id,product_name,category,unit_price,cost_eur
1,Clavier mécanique,Accessoires,49.9,28.94
2,Écran 27 pouces 4K,Écrans,299,140.53
3,Câble USB-C,Accessoires,12.5,7.5
4,Webcam HD,Périphériques,89,43.61
5,Casque audio,Audio,75.25,46.66
6,Souris sans fil,Accessoires,24.9,12.7
7,Tapis de souris XL,Accessoires,14.5,9.28
8,Hub USB-C 6-en-1,Périphériques,39.9,21.15
9,Support écran réglable,Accessoires,54,35.64
10,Chargeur USB-C 65W,Périphériques,34.9,19.2
11,SSD externe 1 To,Stockage,109,74.12
12,Lampe de bureau LED,Accessoires,29.9,17.04
13,Repose-poignets ergonomique,Accessoires,19.9,9.15
14,Micro USB cardioïde,Audio,79,46.61
15,Adaptateur HDMI,Accessoires,16.9,8.11
16,Station d'accueil USB-C,Périphériques,159,96.99
17,Disque dur 2 To,Stockage,74.9,37.45
18,Câble HDMI 2.1,Accessoires,18.5,11.66
19,Enceinte Bluetooth,Audio,59,30.68
20,Écran 24 pouces,Écrans,149,96.85
21,Webcam 4K,Périphériques,119,64.26
22,Clé USB 128 Go,Stockage,21.9,14.67
23,Routeur WiFi 6,Réseau,99,55.44
24,Casque ANC,Audio,129,58.05
25,Ventilateur USB silencieux,Accessoires,22.5,13.05
